Vg	absId	absIg	absIs	Vd	Ig	Id
-8	5.08059E-07	3.441E-09	5.13794E-07	-5	-3.441E-09	-5.08059E-07
-8.5	6.51021E-07	3.9089E-09	6.57756E-07	-5	-3.9089E-09	-6.51021E-07
-9	8.18977E-07	4.385E-09	8.26704E-07	-5	-4.385E-09	-8.18977E-07
-9.5	1.012887E-06	4.8348E-09	1.021444E-06	-5	-4.8348E-09	-1.012887E-06
-10	1.23729E-06	4.7529E-09	1.24612E-06	-5	-4.7529E-09	-1.23729E-06
-10.5	1.47762E-06	5.2345E-09	1.48673E-06	-5	-5.2345E-09	-1.47762E-06
-11	1.74018E-06	5.4512E-09	1.75E-06	-5	-5.4512E-09	-1.74018E-06
-11.5	2.02326E-06	5.7648E-09	2.03383E-06	-5	-5.7648E-09	-2.02326E-06
-12	2.32358E-06	6.0909E-09	2.33485E-06	-5	-6.0909E-09	-2.32358E-06
-12.5	2.6371E-06	6.9969E-09	2.64987E-06	-5	-6.9969E-09	-2.6371E-06
-13	2.96698E-06	7.1482E-09	2.98011E-06	-5	-7.1482E-09	-2.96698E-06
-13.5	3.30718E-06	7.9277E-09	3.3215E-06	-5	-7.9277E-09	-3.30718E-06
-14	3.65795E-06	8.3761E-09	3.67303E-06	-5	-8.3761E-09	-3.65795E-06
-14.5	4.02078E-06	8.6915E-09	4.03613E-06	-5	-8.6915E-09	-4.02078E-06
-15	4.38924E-06	9.2252E-09	4.40543E-06	-5	-9.2252E-09	-4.38924E-06
-15.5	4.76689E-06	9.618E-09	4.78365E-06	-5	-9.618E-09	-4.76689E-06
-16	5.14961E-06	1.01213E-08	5.16689E-06	-5	-1.01213E-08	-5.14961E-06
-16.5	5.54062E-06	1.03877E-08	5.55822E-06	-5	-1.03877E-08	-5.54062E-06
-17	5.93589E-06	1.09398E-08	5.95413E-06	-5	-1.09398E-08	-5.93589E-06
-17.5	6.33513E-06	1.1234E-08	6.35372E-06	-5	-1.1234E-08	-6.33513E-06
-18	6.74014E-06	1.14747E-08	6.75902E-06	-5	-1.14747E-08	-6.74014E-06
-18.5	7.14798E-06	1.1642E-08	7.16705E-06	-5	-1.1642E-08	-7.14798E-06
-19	7.56065E-06	1.17867E-08	7.57993E-06	-5	-1.17867E-08	-7.56065E-06
-19.5	7.97607E-06	1.19025E-08	7.9956E-06	-5	-1.19025E-08	-7.97607E-06
-20	8.39603E-06	1.20466E-08	8.41574E-06	-5	-1.20466E-08	-8.39603E-06
-20.5	8.8177E-06	1.22138E-08	8.83772E-06	-5	-1.22138E-08	-8.8177E-06
-21	9.24387E-06	1.24178E-08	9.26406E-06	-5	-1.24178E-08	-9.24387E-06
-21.5	9.67286E-06	1.26595E-08	9.69334E-06	-5	-1.26595E-08	-9.67286E-06
-22	1.010343E-05	1.28873E-08	1.012436E-05	-5	-1.28873E-08	-1.010343E-05
